Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
2908,10893,Jakie dokumenty masz obowiązek mieć przy sobie i okazywać na żądanie uprawnionego organu podczas kontroli drogowej?,Orzeczenie lekarskie  jeżeli wykonujesz zarobkowy przewóz osób.,Pokwitowanie zatrzymania prawa jazdy w okresie  w którym upoważnia ono do kierowania. ,Orzeczenie psychologiczne.,B,,B,,,,,What documents are you obliged to carry with you and present at the request of the relevant authority during roadside inspections?,A medical certificate if you are involved in commercial passenger transport.,A driving license retention receipt for the period it permits the driver to drive.,A psychological fitness certificate.,Welche Dokumente sollen Sie mitführen und auf Verlangen eines berechtigten Organs während einer Verkehrskontrolle vorzeigen?,Ärztliches Gutachten  falls Sie entgeltlich Personentransport betreiben.,Bestätigung des Einbehalts des Führerscheins innerhalb der erlaubten Nutzungsfrist des Fahrzeugs.,Psychologisches Gutachten.,Які документи Ви зобов’язані мати при собі та пред’являти на вимогу уповноваженого органу під час дорожнього контролю?,Медичну довідку  якщо Ви здійснюєте комерційні пасажирські перевезення.,Розписку про затримання (вилучення) органом контролі посвідчення водія. Розписку слід мати при собі впродовж терміну  протягом якого розписка дає право керувати транспортними засобами.,Психологічний висновок.,
2909,10894,Jakie dokumenty masz obowiązek mieć przy sobie i okazywać na żądanie uprawnionego organu podczas kontroli drogowej?,Orzeczenie psychologiczne  jeżeli wykonujesz zarobkowy przewóz osób.,Pokwitowanie zatrzymania prawa jazdy w okresie  w którym upoważnia ono do kierowania.,Orzeczenie lekarskie. ,B,,B,,,,,What documents are you obliged to carry with you and present at the request of the relevant authority during roadside inspections?,A psychological fitness certificate if you are involved in commercial passenger transport.,A driving licence retention receipt for the period it permits the driver to drive.,A medical certificate.,Welche Dokumente soll man mitführen und auf Verlangen eines berechtigten Organs während der Verkehrskontrolle vorzeigen?,Psychologisches Gutachten  falls Sie Personentransport entgeltlich betreiben.,Einbehaltsbestätigung des Führerscheins innerhalb der erlaubten Führungsfrist.,Ärztliches Gutachten.,Які документи Ви зобов’язані мати при собі та пред’являти на вимогу уповноваженого органу під час дорожнього контролю?,Психологічний висновок  якщо Ви здійснюєте комерційні пасажирські перевезення.,Розписку про затримання (вилучення) органом контролі посвідчення водія. Розписку слід мати при собі впродовж терміну  протягом якого розписка дає право керувати транспортними засобами.,Медичний звіт.,
2910,10895,Jaki dokument jesteś zobowiązany mieć przy sobie i okazywać na żądanie uprawnionego organu?,Dokument potwierdzający uczestnictwo w kursie kwalifikacji wstępnej.,Dokument stwierdzający uprawnienie do kierowania pojazdem inny niż wydane w kraju prawo jazdy.,Dokument stwierdzający ukończenie kursu z pierwszej pomocy przedmedycznej.,B,,A B C D T AM A1 A2 B1 C1 D1,,,,,What document are you obliged to carry with you and present at the request of a competent authority?,Proof of participation in a pre-qualification training course.,A document certifying the right to drive a vehicle other than a national driving licence.,Document confirming the completion of pre-medical first aid training.,Welche Dokumente soll man mitführen und auf Verlangen eines berechtigten Organs vorzeigen?,Beteiligungsbescheinigung am Vorqualifikationskurs.,Ein die Fahrerlaubnis bescheinigendes Dokument  anders als der in Polen ausgestellte Führerschein.,Bescheinigung über den abgeschlossenen Erste-Hilfe-Kurs.,Який документ Ви зобов'язані мати при собі та надати на вимогу уповноваженого органу?,Документ  що підтверджує участь у курсі вступної кваліфікації.,Документ  що підтверджує право керувати транспортним засобом  інший ніж національне посвідчення водія.,Документ  що підтверджує проходження курсу першої медичної допомоги.,
2911,10897,Za które naruszenie przepisów ruchu drogowego policjant zatrzyma prawo jazdy?,Za omijanie pojazdu z naruszeniem podwójnej linii ciągłej.,Za kierowanie pojazdem z prędkością przekraczającą dopuszczalną o więcej niż 50 km/h poza obszarem zabudowanym.,Za kierowanie pojazdem z prędkością przekraczającą dopuszczalną o więcej niż 50 km/h na obszarze zabudowanym.,C,,A B C D A1 A2 B1 C1 D1,,,,,For which road traffic violation will a police officer withhold a driving licence?,For circumventing a vehicle in violation of the double continuous line.,For driving a vehicle at a speed exceeding the speed limit by more than 50 km/h outside a built-up area.,For driving a vehicle at a speed exceeding the speed limit by more than 50 km/h in a built-up area.,Für welche Verstöße gegen die StVO behält der Polizist den Führerschein ein?,Für das Umfahren eines Fahrzeugs mit Überschreitung einer doppelten durchgezogenen Linie.,Für die Fahrzeugführung mit einer Geschwindigkeit über 50 km/h über die erlaubte Geschwindigkeit außerhalb geschlossener Ortschaft.,Für die Fahrzeugführung mit einer Geschwindigkeit über 50 km/h über die erlaubte Geschwindigkeit in geschlossener Ortschaft.,За яке порушення правил дорожнього руху поліцейський може забрати у Вас водійське посвідчення?,За обминання (об’їзд) транспортного засобу з порушенням подвійної суцільної лінії.,За керування транспортним засобом зі швидкістю  що перевищує дозволену швидкість  більше ніж на 50 км/год поза населеним пунктом.,"За керування транспортним засобом зі швидкістю  що перевищує дозволену швидкість більше ніж на 50 км/год у зоні  обмеженій знаками ""початок забудови населеного пункту"" і ""кінець забудови населеного пункту"".",
2912,10898,Za które naruszenie przepisów ruchu drogowego policjant zatrzyma prawo jazdy?,Za wyprzedzanie z naruszeniem pojedynczej linii ciągłej.,Za przewożenie osób w liczbie przekraczającej o dwa liczbę miejsc określoną w dowodzie rejestracyjnym samochodu osobowego.,Za wymijanie na przejeździe kolejowym.,B,,B,,,,,For which road traffic violation will a police officer withhold a driving licence?,For overtaking in violation of the single continuous line.,For transporting two passengers in excess of the number of seats specified in the passenger car registration document.,For overtaking at a railway crossing.,Für welche Verstöße gegen die StVO behält der Polizist den Führerschein ein?,Für das Überholen mit Überschreitung der einzelnen durchgezogenen Linie.,Für den Transport von Personen im Auto  deren Zahl um 2 die Anzahl der im PkW-Fahrzeugschein bestimmten Sitze übersteigt.,Für das Umfahren auf einem Bahnübergang.,За яке порушення правил дорожнього руху поліцейський може забрати у Вас водійське посвідчення?,За обгін з порушенням суцільної лінії.,За перевезення двох осіб понад кількість місць  зазначених в свідоцтві про реєстрацію легкового автомобіля.,За зустрічний роз'їзд на залізничному переїзді.,
2913,10899,Za które naruszenie przepisów ruchu drogowego policjant zatrzyma prawo jazdy?,Za wyprzedzanie przed przejściem dla pieszych  gdzie ruch jest kierowany.,Za przewożenie osób w liczbie przekraczającej o dwa liczbę miejsc określoną w pozwoleniu czasowym samochodu osobowego.,Za wymijanie na przejeździe dla rowerzystów.,B,,B,,,,,For which road traffic violation will a police officer retain a driving licence?,For overtaking before the pedestrian crossing where traffic is directed.,For transporting two passengers in excess of the number of seats specified in the temporary permit of a passenger car.,For overtaking at crossings for cyclists.,Für welche Verstöße gegen die StVO behält der Polizist den Führerschein ein?,Für das Überholen vor einem Fußgängerüberweg mit geregeltem Verkehr.,Für den Transport von Personen im Auto  deren Zahl um 2 die Anzahl der im temporären PkW-Fahrzeugschein bestimmten Sitze übersteigt.,Für das Umfahren auf dem Radfahrerübergang.,За яке порушення правил дорожнього руху поліцейський може забрати у Вас водійське посвідчення?,За обгін перед пішохідним переходом  на якому рух регулюється.,За перевезення пасажирів  кількість яких на 2 особи перевищує кількість місць для сидіння  вказану в тимчасовому свідоцтві про реєстрацію легкового автомобіля.,За зустрічний роз'їзд на велосипедному переїзді.,
2914,10900,Czy w tej sytuacji znajdujesz się na drodze z pierwszeństwem przejazdu?,,,,Nie,W7.1.webm,AM,,,,,In this situation  are you on a road with right of way?,,,,Befinden Sie sich in dieser Situation auf einer Vorfahrtsstraße?,,,,,,,,"<video src=""W7.1.webm"" controls>"
2915,10901,Czy w tej sytuacji zbliżasz się do drogi z pierwszeństwem przejazdu?,,,,Tak,W7.1.webm,AM,,,,,In this situation  are you approaching a road with the right of way?,,,,Kommen Sie in dieser Situation an eine Vorfahrtsstraße?,,,,,,,,"<video src=""W7.1.webm"" controls>"
2916,10902,Czy w tej sytuacji masz obowiązek zatrzymać się przed linią zatrzymania?,,,,Tak,W7.2.webm,AM,,,,,In this situation  are you obliged to stop before the stop line?,,,,Sollen Sie in dieser Situation vor der Anhaltslinie anhalten?,,,,,,,,"<video src=""W7.2.webm"" controls>"
2917,10903,Czy w tej sytuacji  jadąc na wprost przez skrzyżowanie  masz obowiązek ustąpić pierwszeństwa pojazdom nadjeżdżającym z prawej strony?,,,,Tak,W7.2.webm,AM,,,,,In this situation  when driving straight ahead through the intersection  are you obliged to yield way to the vehicles approaching from the right?,,,,Sollen Sie in dieser Situation beim Geradeausfahren über die Kreuzung den von rechts kommenden Fahrzeugen die Vorfahrt gewähren?,,,,,,,,"<video src=""W7.2.webm"" controls>"
2918,10904,Czy  w tej sytuacji  skręcając w prawo na skrzyżowaniu  masz pierwszeństwo przed pojazdami nadjeżdżającymi z lewej strony?,,,,Nie,W7.2.webm,AM,,,,,In this situation  when turning right at the intersection  do you have priority over vehicles approaching from the left?,,,,Haben Sie in dieser Situation beim Rechtsabbiegen Vorfahrt vor den von links kommenden Fahrzeugen?,,,,,,,,"<video src=""W7.2.webm"" controls>"
2919,10905,Czy w tej sytuacji. skręcając w lewo na skrzyżowaniu  masz pierwszeństwo przed pojazdami nadjeżdżającymi z przeciwka?,,,,Nie,W7.3.webm,AM,,,,,In this situation  when turning left at the crossroads  do you have priority over vehicles approaching from the opposite direction?,,,,Haben Sie in dieser Situation beim Linksabbiegen die Vorfahrt vor den im Gegenverkehr kommenden Fahrzeugen?,,,,,,,,"<video src=""W7.3.webm"" controls>"
2920,10906,Czy w tej sytuacji  skręcając w prawo  masz pierwszeństwo przejazdu?,,,,Tak,W7.3.webm,AM,,,,,When turning right in this situation  do you have the right of way?,,,,Haben Sie in dieser Situation beim Rechtsabbiegen die Vorfahrt?,,,,,,,,"<video src=""W7.3.webm"" controls>"
2921,10907,Czy w tej sytuacji znajdujesz się na drodze z pierwszeństwem przejazdu?,,,,Nie,W7.4.webm,AM,,,,,In this situation  are you on a road with right of way?,,,,Befinden Sie sich in dieser Situation auf einer Vorfahrtsstraße?,,,,,,,,"<video src=""W7.4.webm"" controls>"
2922,10908,Czy w tej sytuacji  skręcając w prawo na skrzyżowaniu  masz obowiązek ustąpić pierwszeństwa pojazdom nadjeżdżającym z lewej strony?,,,,Tak,W7.4.webm,AM,,,,,In this situation  when turning right at an intersection  are you obliged to yield way to vehicles approaching from the left?,,,,Sollen Sie in dieser Situation beim Rechtsabbiegen auf der Kreuzung den von links kommenden Fahrzeugen die Vorfahrt gewähren?,,,,,,,,"<video src=""W7.4.webm"" controls>"
2923,10909,Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdom poruszającym się po skrzyżowaniu o ruchu okrężnym?,,,,Tak,W7.5.webm,AM,,,,,In this situation  are you obliged to yield the right of way to vehicles moving on a circular traffic intersection?,,,,Sollen Sie den auf der Kreuzung den im Kreisverkehr fahrenden Fahrzeugen die Vorfahrt gewähren?,,,,,,,,"<video src=""W7.5.webm"" controls>"
2924,10911,Czy w tej sytuacji znajdujesz się na drodze podporządkowanej?,,,,Nie,W7.8.webm,AM,,,,,In this situation  are you on a side road?,,,,Befinden Sie sich in dieser Situation auf einer untergeordneten Straße?,,,,,,,,"<video src=""W7.8.webm"" controls>"
2925,10912,Czy w tej sytuacji znajdujesz się na drodze z pierwszeństwem przejazdu?,,,,Nie,W7.9.webm,AM,,,,,In this situation  are you on a road with the right of way?,,,,Sind Sie in dieser Situation auf einer Vorfahrtsstraße?,,,,,,,,"<video src=""W7.9.webm"" controls>"
2926,10913,Czy skręcając w lewo na skrzyżowaniu  masz obowiązek ustąpić pierwszeństwa pojazdom  które nadjechałyby z prawej strony?,,,,Tak,W6.2.webm,AM,,,,,When turning left at an intersection  are you obliged to give the right of way to vehicles that could approach from the right?,,,,Sollen Sie beim Linksabbiegen an der Kreuzung den von rechts kommenden Fahrzeugen Vorfahrt gewähren?,,,,,,,,"<video src=""W6.2.webm"" controls>"
2927,10914,Czy w tej sytuacji  skręcając w prawo na skrzyżowaniu  masz pierwszeństwo przed pojazdami  które nadjechałyby z lewej strony?,,,,Nie,W7.9.webm,AM,,,,,In this situation  when turning right at the intersection  do you have priority over vehicles coming from the left?,,,,Haben Sie in dieser Situation beim Rechtsabbiegen an der Kreuzung Vorfahrt vor den von links kommenden Fahrzeugen?,,,,,,,,"<video src=""W7.9.webm"" controls>"
2928,10915, Czy widząc ten sygnał możesz kontynuować jazdę na wprost przez skrzyżowanie?,,,,Tak,W8.1.webm,AM,,,,,When you see this signal  can you continue driving straight ahead through an intersection?,,,,Dürfen Sie bei diesem Signal über die Kreuzung weiterhin geradeaus fahren?,,,,,,,,"<video src=""W8.1.webm"" controls>"
2929,10916,Czy sygnał ten zezwala na skręcenie na skrzyżowaniu w prawo  z prawego pasa ruchu?,,,,Tak,W8.1.webm,AM,,,,,Does this signal allow you to turn right at an intersection from the right lane?,,,,Erlaubt das Signal auf der rechten Spur an der Kreuzung rechts abzubiegen?,,,,,,,,"<video src=""W8.1.webm"" controls>"
2930,10917,Czy w tej sytuacji masz obowiązek zachować szczególną ostrożność?,,,,Tak,W8.1.webm,AM,,,,,Are you obliged to exercise extreme caution in this situation?,,,,Sollen Sie in dieser Situation besonders vorsichtig sein?,,,,,,,,"<video src=""W8.1.webm"" controls>"
2931,10918,Czy w tej sytuacji możesz jechać na wprost przez skrzyżowanie?,,,,Nie,W8.3.webm,AM,,,,,In this situation  can you drive straight ahead through the intersection?,,,,Dürfen Sie in dieser Situation über die Kreuzung geradeaus fahren?,,,,,,,,"<video src=""W8.3.webm"" controls>"
2932,10919,Czy przed skręceniem w prawo musisz zatrzymać się przed sygnalizatorem w celu upewnienia się  że nie spowodujesz utrudnienia ruchu innym uczestnikom?,,,,Tak,W8.3.webm,AM,,,,,Prior to turning right  do you have to stop before the traffic light to ensure that you do not obstruct other traffic participants?,,,,Sollen Sie vor dem Rechtsabbiegen vor der Ampel anhalten  um sich zu vergewissern  dass Sie die anderen Fahrzeuge am Verkehr nicht hindern?,,,,,,,,"<video src=""W8.3.webm"" controls>"
2933,10920,Czy w tej sytuacji chcąc skręcić w prawo na skrzyżowaniu masz obowiązek zatrzymać pojazd przed sygnalizatorem?,,,,Tak,W8.3.webm,AM,,,,,In this situation  if you want to turn right at the intersection  are you obliged to stop the vehicle before the traffic light?,,,,Sollen Sie in dieser Situation beim Rechtsabbiegen an der Kreuzung vor der Ampel anhalten?,,,,,,,,"<video src=""W8.3.webm"" controls>"
2934,10921,Czy w tej sytuacji  skręcając w prawo na skrzyżowaniu  masz pierwszeństwo przed pojazdami nadjeżdżającymi z lewej strony?,,,,Nie,W8.3.webm,AM,,,,,In this situation  when turning right at the intersection  do you have the right of way over vehicles approaching from the left?,,,,Haben Sie in dieser Situation beim Rechtsabbiegen Vorfahrt vor den von links kommenden Fahrzeugen?,,,,,,,,"<video src=""W8.3.webm"" controls>"
2935,10922,Czy w tej sytuacji możesz skręcić w prawo na skrzyżowaniu?,,,,Nie,W8.4.webm,AM,,,,,In this situation  can you turn right at the intersection?,,,,Dürfen Sie in dieser Situation an der Kreuzung rechts abbiegen?,,,,,,,,"<video src=""W8.4.webm"" controls>"
2936,10923,Czy sygnał ten zezwala na jazdę na wprost przez skrzyżowanie?,,,,Nie,W8.5.webm,AM,,,,,Does this signal permit you to drive straight ahead through the intersection?,,,,Erlaubt das Signal über die Kreuzung geradeaus zu fahren?,,,,,,,,"<video src=""W8.5.webm"" controls>"
2937,10924,Czy w tej sytuacji możesz skręcić w prawo na skrzyżowaniu bez zatrzymania pojazdu?,,,,Tak,W8.5.webm,AM,,,,,In this situation  can you turn right at the intersection without stopping the vehicle?,,,,Dürfen Sie in dieser Situation  ohne Anhalten an der Kreuzung rechts abbiegen?,,,,,,,,"<video src=""W8.5.webm"" controls>"
2938,10925,Czy w tej sytuacji  skręcając w prawo na skrzyżowaniu  masz obowiązek ustąpić pierwszeństwa pojazdom nadjeżdżającym z lewej strony?,,,,Nie,W8.5.webm,AM,,,,,In this situation  when turning right at the intersection  are you obliged to yield way to vehicles approaching from the left?,,,,Sollen Sie in dieser Situation beim Rechtsabbiegen den von links kommenden Fahrzeugen die Vorfahrt gewähren?,,,,,,,,"<video src=""W8.5.webm"" controls>"
2939,10926,Czy w tej sytuacji chcąc  skręcić w prawo na skrzyżowaniu  masz obowiązek zatrzymać się przed sygnalizatorem?,,,,Nie,W8.2.webm,AM,,,,,In this situation  if you want to turn right at the intersection  are you obliged to stop before the traffic light?,,,,Sollen Sie in dieser Situation beim Rechtsabbiegen an der Kreuzung vor der Ampel anhalten?,,,,,,,,"<video src=""W8.2.webm"" controls>"
2940,10927,Czy sygnał ten zezwala Ci na jazdę na wprost przez skrzyżowanie?,,,,Nie,W8.4.webm,AM,,,,,Does this signal permit you to drive straight through the intersection?,,,,Erlaubt Ihnen das Signal über die Kreuzung geradeaus zu fahren?,,,,,,,,"<video src=""W8.4.webm"" controls>"
2941,10928,Czy w tej sytuacji skręcając w prawo masz obowiązek zachować szczególną ostrożność?,,,,Tak,W8.5.webm,AM,,,,,In this situation  are you obliged to exercise extreme caution when turning right?,,,,Sollen Sie in dieser Situation beim Rechtsabbiegen besonders vorsichtig sein?,,,,,,,,"<video src=""W8.5.webm"" controls>"
2942,10929,Czy w tej sytuacji  skręcając w prawo na skrzyżowaniu  masz obowiązek zatrzymać się przed sygnalizatorem?,,,,Nie,W8.6.webm,AM,,,,,In this situation  when turning right at the intersection  are you obliged to stop before the traffic signal?,,,,Sollen Sie in dieser Situation beim Rechtsabbiegen an der Kreuzung vor der Ampel anhalten?,,,,,,,,"<video src=""W8.6.webm"" controls>"
2943,10930,Ile czasu jest ważne pokwitowanie zatrzymania polskiego prawa jazdy za przekroczenie prędkości o ponad 50 km/h w obszarze zabudowanym  które wydał Ci policjant?,12 godzin.,24 godziny.,72 godziny.,B,,A B C D A1 A2 B1 C1 D1,,,,,What is the validity of a Polish driving licence retention receipt issued to you by a police officer for exceeding the speed limit by more than 50 km/h in a built-up area?,12 hours.,24 hours.,72 hours.,Wie lange gilt die Quittung für den Einbehalt des polnischen Führerscheins für die Geschwindigkeitsüberschreitung um über 50 km/h in geschlossener Ortschaft  die Ihnen durch den Polizisten ausgestellt wurde?,12 Stunden.,24 Stunden.,72 Stunden.,"Як довго діє розписка  яку Вам видав поліцейський  про затримання (вилучення) польського водійського посвідчення за перевищення швидкості понад 50 км/год у зоні  обмеженій знаками ""початок забудови населеного пункту"" і ""кінець забудови населеного пункту""?",12 годин.,24 години.,72 години.,
2944,10931,Ile czasu jest ważne pokwitowanie zatrzymania przez policjanta prawa jazdy za przewożenie osób w liczbie przekraczającej o dwa liczbę miejsc określoną w dowodzie rejestracyjnym samochodu osobowego?,12 godzin.,24 godziny.,72 godziny.,B,,B,,,,,What is the validity period of a driving licence retention receipt issued by a police officer for transporting two passengers in excess of the number of seats specified in the passenger car registration document?,12 hours.,24 hours.,72 hours.,Wie lange ist die Quittung für den einbehaltenen Führerschein für den Personentransport in der Anzahl  die um 2 Anzahl der Sitzplätze im PkW-Fahrzeugschein übersteigt  gültig?,12 Stunden.,24 Stunden.,72 Stunden.,Як довго діє розписка про затримання (вилучення) польського водійського посвідчення за перевезення двох осіб понад кількість місць  зазначену в свідоцтві про реєстрацію легкового автомобіля?,12 годин.,24 години.,72 години.,
2945,10932,O ile czasu starosta wydłuży okres zatrzymania prawa jazdy  jeśli zostałeś zatrzymany do kontroli  gdy prowadziłeś pojazd pomimo że wcześniej zatrzymano Ci prawo jazdy na trzy miesiące za przekroczenie prędkości o więcej niż 50 km/h w obszarze zabudowanym?,O kolejny miesiąc.,O kolejne dwa miesiące.,O kolejne trzy miesiące.,C,,A B C D A1 A2 B1 C1 D1,,,,,How much longer will the starost extend the retention period of your driving licence if you have been stopped for control while driving despite your driving licence having been previously withheld for three months for exceeding the speed limit by more than 50 km/h in a built-up area?,For a further month.,For a further two months.,For a further three months.,Um wieviel Zeit verlängert der Landrat die Einbehaltsfrist des Führerscheins  falls Sie zur Kontrolle angehalten wurden und Sie weiterhin das Fahrzeug führten  obwohl Ihnen früher der Führerschein für die Fahrt um über 50 km/h überschrittene zugelassene Geschwindigkeit in geschlossener Ortschaft einbehalten wurde?,Um einen weiteren Monat.,Um weitere zwei Monate.,Um weitere drei Monate.,"На який термін староста продовжить термін позбавлення Вас водійського посвідчення  якщо Вас зупинили для контролю під час керування транспортним засобом без водійського посвідчення  тому що Ваше водійське посвідчення було затримане (вилучене) на три місяці за перевищення швидкості більш ніж на 50 км/год у зоні  обмеженій знаками ""початок забудови населеного пункту"" і ""кінець забудови населеного пункту""?",Ще на місяць.,Ще на два місяці.,Ще на три місяці.,
2946,10933,Czy na tym skrzyżowaniu dozwolone jest wyprzedzanie?,,,,Tak,1  2  3.webm,AM,,,,,Is overtaking allowed at this intersection?,,,,Darf man auf dieser Kreuzung überholen?,,,,,,,,"<video src=""1  2  3.webm"" controls>"
2947,10937,Czy na tym skrzyżowaniu dozwolone jest wyprzedzanie innych pojazdów?,,,,Nie,pięć5.webm,AM,,,,,Is it permissible to overtake other vehicles at this intersection?,,,,Dürfen Sie auf dieser Kreuzung andere Fahrzeuge überholen?,,,,,,,,"<video src=""pięć5.webm"" controls>"
2948,10939,Czy zamierzając wyprzedzić pojazd jadący przed nami  należy zachować bezpieczny odstęp od niego  nie mniejszy niż 1 metr?,,,,Nie,7  12  15  42.webm,AM,,,,,Should you keep a safe distance of at least 1 metre from the vehicle ahead when you intend to overtake it?,,,,Wenn Sie das vorausfahrende Fahrzeug überholen wollen  sollen Sie einen Mindestsicherheitsabstand 1 m von ihm einhalten?,,,,,,,,"<video src=""7  12  15  42.webm"" controls>"
2949,10940,Czy zamierzając wyprzedzić pojazd jadący przed nami zawsze należy zachować bezpieczny odstęp od niego?,,,,Tak,8. 26.webm,AM,,,,,Must you always keep a safe distance from the vehicle in front of you when you intend to overtake it?,,,,Wenn Sie das vorausfahrende Fahrzeug überholen wollen  sollen Sie immer einen Sicherheitsabstand von ihm einhalten?,,,,,,,,"<video src=""8. 26.webm"" controls>"
2950,10941,Czy w tej sytuacji wyprzedzając pojazd  należy zachować bezpieczny odstęp od niego  nie mniejszy niż 1m?,,,,Nie,9  38.webm,AM,,,,,Should you in this situation keep a safe distance of at least 1m from the vehicle when overtaking it?,,,,Wenn Sie das vorausfahrende Fahrzeug überholen  sollen Sie einen Mindestsicherheitsabstand 1 m von ihm einhalten?,,,,,,,,"<video src=""9  38.webm"" controls>"
2951,10945,Jaką decyzję podejmie starosta  jeśli zostałeś zatrzymany do kontroli kierując pojazdem pomimo przedłużeniu okresu zatrzymania prawa jazdy do sześciu miesięcy za przekroczenie prędkości o więcej niż 50 km/h w obszarze  zabudowanym?,Przedłuży okres zatrzymania o kolejne trzy miesiące.,Przedłuży okres zatrzymania o kolejne cztery miesiące.,Cofnie uprawnienie do kierowania pojazdem.,C,,A B C D A1 A2 B1 C1 D1,,,,,What decision will the starost take if you have been stopped for inspection while driving despite the extension of your driving licence to six months for exceeding the speed limit by more than 50 km/h in a built-up area?,The starost will extend the retention period by a further three months.,The starost will extend the retention period by a further four months.,The starost will revoke your right to drive.,Welche Entscheidung trifft der Landrat  falls Sie zur Kontrolle angehalten wurden und Sie weiterhin das Fahrzeug führten  obwohl Ihnen früher der Führerschein für die Fahrt um über 50 km/h überschrittene zugelassene Geschwindigkeit in geschlossener Ortschaft einbehalten wurde?,Er verlängert die Einbehaltsfrist um weitere drei Monate.,Er verlängert die Einbehaltsfrist um weitere vier Monate.,Er entzieht Ihnen die Fahrerlaubnis.,"Яке рішення прийме староста  якщо Вас зупинили для контролю і виявилося  що Ви керуєте автомобілем без водійського посвідчення  тому  що Вам його спочатку забрали на 3 місяці за перевищення швидкості більш ніж на 50 км/год у зоні  обмеженій знаками ""початок забудови населеного пункту"" і ""кінець забудови населеного пункту""  а потім продовжили термін позбавлення Вас водійського посвідчення ще на 3 місяці  тому що піймали Вас на керуванні авто без водійського посвідчення?",Продовжить термін позбавлення Вас водійського посвідчення ще на три місяці.,Продовжить термін позбавлення Вас водійського посвідчення ще на чотири місяці.,Позбавить Вас водійських прав.,
2952,10946,Jaką decyzję podejmie starosta  jeśli zostałeś zatrzymany do kontroli kierując pojazdem pomimo przedłużenia okresu zatrzymania prawa jazdy do sześciu miesięcy za przewożenie osób w liczbie przekraczającej o dwa liczbę miejsc określoną w dowodzie rejestracyjnym samochodu osobowego?,Przedłuży okres zatrzymania o kolejne trzy miesiące.,Przedłuży okres zatrzymania o kolejne cztery miesiące.,Cofnie uprawnienie do kierowania pojazdem.,C,,B,,,,,What decision will the starost take if you have been stopped for control while driving despite the extension of your driving licence retention period to six months for carrying two passengers in excess of the number of seats specified on the passenger car registration document?,The starost will extend the retention period by a further three months.,the starost will extend the retention period by a further four months.,The starost will revoke your right to drive.,Welche Entscheidung trifft der Landrat  falls Sie zur Kontrolle angehalten wurden und Sie weiterhin das Fahrzeug führten  obwohl Ihnen früher der Führerschein für den Personentransport  der in der Anzahl über 2 die im PkW-Fahrzeugschein angegebene Anzahl der Sitzplätze übersteigt  einbehalten wurde?,Er verlängert die Einbehaltsfrist um weitere drei Monate.,Er verlängert die Einbehaltsfrist um weitere vier Monate.,Er entzieht Ihnen die Fahrerlaubnis.,Яке рішення прийме староста  якщо Вас зупинили для перевірки під час керування автомобілем без водійського посвідчення  незважаючи на продовження терміну позбавлення Вас водійських прав на шість місяців за перевезення двох осіб понад кількість місць  вказаних в свідоцтві про реєстрацію автомобіля?,Продовжить термін позбавлення Вас водійського посвідчення ще на три місяці.,Продовжить термін позбавлення Вас водійського посвідчення ще на чотири місяці.,Позбавить Вас водійських прав.,
2953,10947,Czy wyprzedzając pojazd jadący z prawej strony należy zachować bezpieczny odstęp  nie mniejszy niż 1 metr?,,,,Tak,10  34.webm,AM,,,,,Should a safe distance of not less than 1 metre be maintained when overtaking a vehicle on the right?,,,,Wenn Sie das vorausfahrende Fahrzeug rechts überholen  sollen Sie einen Mindestsicherheitsabstand 1 m von ihm einhalten?,,,,,,,,"<video src=""10  34.webm"" controls>"
2954,10949,Czy w tej sytuacji dozwolone jest wyprzedzanie pojazdu z prawej strony?,,,,Tak,7  12  15  42.webm,AM,,,,,In this situation  is it permitted to overtake the vehicle on the right?,,,,Dürfen Sie in dieser Situation das Fahrzeug rechts überholen?,,,,,,,,"<video src=""7  12  15  42.webm"" controls>"
2955,10950,Czy na tym skrzyżowaniu dozwolone jest wyprzedzanie?,,,,Tak,13.webm,AM,,,,,Is overtaking allowed at this intersection?,,,,Dürfen Sie auf dieser Kreuzung überholen?,,,,,,,,"<video src=""13.webm"" controls>"
2956,10952,Czy w tej sytuacji  przystępując do wyprzedzania  masz obowiązek upewnić się  że nie zajedziesz drogi pojazdowi  który porusza się prawym pasem?,,,,Tak,7  12  15  42.webm,AM,,,,,Are you obliged when attempting to overtake  in this situation  to ensure that you do not get in the way of a vehicle travelling in the right lane?,,,,Wenn Sie in der Situation überholen möchten  sollen Sie sich vergewissern  dass die dem auf der rechten Spur fahrenden Fahrzeug den Weg nicht versperren?,,,,,,,,"<video src=""7  12  15  42.webm"" controls>"
